Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2007,127389,Lamar Community College,00135500,1,Lamar Community College,817,0,0,0,,,0,,,0,0,0,0,0
2007,127653,Naropa University,02117500,1,Arapahoe Campus,1104,0,0,0,,,0,,,0,0,0,0,0
2007,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2751,0,0,0,,,0,,,0,0,0,0,0
2007,127778,Otero Junior College,00136200,1,Main Campus,1558,0,0,0,,,0,,,0,1,0,0,0
2007,127918,Regis University,00136300,1,Northwest Denver Campus,11238,0,0,1,,,0,,,0,0,3,0,1
2007,128258,Trinidad State College,00136800,1,Trinidad Campus,1760,0,0,0,,,0,,,0,1,1,0,0
2007,126614,University of Colorado Boulder,00137000,1,Main Campus,31796,0,0,5,,,0,,,0,5,24,0,0
2007,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8660,0,0,3,,,0,,,0,1,3,0,0
2007,127060,University of Denver,00137100,1,University Park Campus,11053,0,0,3,,,0,,,0,0,28,0,0
2007,127741,University of Northern Colorado,00134900,1,Main Campus,12702,0,0,3,,,0,,,0,0,21,0,0
2007,128391,Western Colorado University,00137200,1,Main Campus,2146,0,0,1,,,0,,,0,1,8,0,0
2008,126182,Adams State University,00134500,1,Adams State University,2920,0,0,2,,,0,,,0,0,1,0,0
2008,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2599,0,0,0,,,0,,,0,0,0,0,0
2008,126678,Colorado College,00134700,1,Colorado College,2026,0,0,4,,,0,,,0,0,13,0,0
2008,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6262,0,0,1,,,0,,,0,0,6,0,1
2008,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5092,0,0,0,,,0,,,0,1,0,0,0
2008,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1383,0,0,1,,,0,,,0,1,0,0,0
2008,126775,Colorado School of Mines,00134800,1,Main Campus,4704,0,0,0,,,0,,,0,0,2,0,1
2008,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6759,0,0,0,,,0,,,0,0,17,0,0
2008,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28882,0,0,2,,,0,,,0,2,4,0,3
2008,126979,Denver Seminary,00135200,1,Main Campus,880,0,0,0,,,0,,,0,0,0,0,0
2008,127185,Fort Lewis College,00135300,1,Main Campus,3740,0,0,0,,,0,,,0,1,9,0,0
2008,127273,Iliff School of Theology,00135400,1,Main Campus,194,0,0,0,,,0,,,0,0,0,0,0
2008,127389,Lamar Community College,00135500,1,Lamar Community College,1138,0,0,0,,,0,,,0,0,0,0,0
2008,127653,Naropa University,02117500,1,Arapahoe Campus,1075,0,0,0,,,0,,,0,0,0,0,0
2008,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2698,0,0,0,,,0,,,0,0,0,0,0
2008,127778,Otero Junior College,00136200,1,Main Campus,1551,0,0,0,,,0,,,0,0,0,0,0
2008,127918,Regis University,00136300,1,Northwest Denver Campus,11040,0,0,0,,,0,,,0,0,2,0,0
2008,128258,Trinidad State College,00136800,1,Trinidad Campus,1740,0,0,0,,,0,,,0,0,0,0,0
2008,126614,University of Colorado Boulder,00137000,1,Main Campus,32469,0,0,6,,,0,,,1,4,31,0,5
2008,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9373,0,0,0,,,0,,,0,0,2,0,0
2008,127060,University of Denver,00137100,1,University Park Campus,11328,0,0,4,,,0,,,1,1,25,0,1
2008,127741,University of Northern Colorado,00134900,1,Main Campus,12498,0,0,3,,,0,,,0,2,54,0,2
2008,128391,Western Colorado University,00137200,1,Main Campus,2315,0,0,0,,,0,,,0,0,0,0,0
2009,126182,Adams State University,00134500,1,Adams State University,3121,0,0,3,,,0,,,0,0,5,0,0
2009,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2511,0,0,0,,,0,,,0,0,8,0,0
2009,126678,Colorado College,00134700,1,Colorado College,2032,0,0,9,,,0,,,0,0,7,0,0
2009,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,7042,0,0,0,,,0,,,1,0,2,0,0
2009,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5741,0,0,0,,,0,,,0,0,0,0,0
2009,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1375,0,0,0,,,0,,,0,0,0,0,0
2009,126775,Colorado School of Mines,00134800,1,Main Campus,5124,0,0,0,,,0,,,0,0,3,0,0
2009,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6443,0,0,1,,,0,,,0,0,9,0,1
2009,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28902,0,0,3,,,0,,,0,2,7,0,5
2009,126979,Denver Seminary,00135200,1,Main Campus,925,0,0,0,,,0,,,0,0,0,0,0
2009,127185,Fort Lewis College,00135300,1,Main Campus,3770,0,0,2,,,0,,,0,1,8,0,3
2009,127273,Iliff School of Theology,00135400,1,Main Campus,303,0,0,0,,,0,,,0,0,0,0,0
2009,127389,Lamar Community College,00135500,1,Lamar Community College,1080,0,0,0,,,0,,,0,0,0,0,0
2009,127653,Naropa University,02117500,1,Arapahoe Campus,1073,0,0,0,,,0,,,0,0,1,0,0
2009,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2497,0,0,0,,,0,,,0,0,0,0,0
2009,127778,Otero Junior College,00136200,1,Main Campus,1660,0,0,0,,,0,,,0,0,0,0,0
2009,127918,Regis University,00136300,1,Northwest Denver Campus,10874,0,0,0,,,0,,,0,0,0,0,0
2009,128258,Trinidad State College,00136800,1,Trinidad Campus,1812,0,0,0,,,0,,,0,0,1,0,0
2009,126614,University of Colorado Boulder,00137000,1,Main Campus,33010,0,0,6,,,0,,,0,3,14,0,1
2009,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9733,0,0,0,,,0,,,0,0,3,0,0
2009,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,23715,0,0,0,,,0,,,0,0,1,0,0
2009,127060,University of Denver,00137100,1,University Park Campus,11644,0,0,1,,,0,,,0,0,10,0,1
2009,127741,University of Northern Colorado,00134900,1,Main Campus,12711,0,0,5,,,0,,,0,1,2,0,0
2009,128391,Western Colorado University,00137200,1,Main Campus,2237,0,0,1,,,0,,,0,1,9,0,0
2010,126182,Adams State University,00134500,1,Adams State University,3237,0,0,1,,,0,,,0,0,0,0,0
