Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2018,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,25645,0,1,0
2018,127060,University of Denver,00137100,1,University Park Campus,11952,0,2,0
2018,127741,University of Northern Colorado,00134900,1,Main Campus,13437,0,28,31
2018,128391,Western Colorado University,00137200,1,Main Campus,3034,0,32,17
2019,126182,Adams State University,00134500,1,Adams State University,3114,1,0,5
2019,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,7587,0,0,0
2019,126678,Colorado College,00134700,1,Colorado College,2123,0,0,0
2019,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9373,0,16,9
2019,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5636,0,1,0
2019,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1112,0,0,0
2019,126775,Colorado School of Mines,00134800,1,Main Campus,6628,0,0,9
2019,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7081,0,9,8
2019,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,33426,0,8,6
2019,126979,Denver Seminary,00135200,1,Main Campus,848,0,0,0
2019,127185,Fort Lewis College,00135300,1,Main Campus,3300,0,1,6
